Linux 5.15.0-131-generic (node0.parthaw-244324.hyflowtm-pg0.wisc.cloudlab.us) 	03/01/2025 	_x86_64_	(40 CPU)

10:43:35 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:19:15 PM 185486312 186192040   6537420      3.32     88148   4074764  32154760     15.68    390756   8718544        60
11:19:25 PM 185590220 186296088   6433408      3.27     88164   4074872  32086772     15.65    390772   8606888        36
11:19:35 PM 185670756 186376576   6360908      3.23     88180   4074972  31897056     15.56    390788   8542040        36
11:19:45 PM 185756024 186461620   6270704      3.19     88196   4075076  31953152     15.58    390804   8473884         8
11:19:55 PM 185695700 186401840   6328848      3.22     88212   4075440  31964884     15.59    390820   8515912       480
11:20:05 PM 185629768 186336128   6397888      3.25     88228   4075536  32014088     15.61    390836   8563760       280
11:20:15 PM 185708948 186415520   6318548      3.21     88244   4075632  32010572     15.61    390852   8526980       312
11:20:25 PM 185625648 186332504   6397048      3.25     88260   4075736  32034008     15.62    390868   8578648       476
11:20:35 PM 185656752 186363560   6369444      3.24     88276   4075832  32034028     15.62    390876   8564376       272
11:20:45 PM 185634192 186341432   6386956      3.25     88292   4075928  32043408     15.63    390900   8595628       248
11:20:55 PM 185596540 186303716   6427288      3.27     88308   4076352  32067748     15.64    390920   8630688       348
11:21:05 PM 192234244 192941220   2202952      1.12     88332   1702096   3060460      1.49    390896   2176872       596
11:21:15 PM 187175436 187883840   5339824      2.72     88592   3584804  30498388     14.87    391332   7169488       248
11:21:25 PM 185860800 186570704   5795516      2.95     88608   4437972  31985588     15.60    391348   8399864       116
11:21:35 PM 185510824 186220716   6053088      3.08     88628   4536468  32173284     15.69    391368   8714248       116
11:21:45 PM 185551356 186261448   6008664      3.06     88644   4538104  32150504     15.68    391384   8706260       144
11:21:55 PM 185524992 186235492   6032068      3.07     88660   4538192  32204120     15.70    391400   8701288        92
11:22:05 PM 185311048 186021520   6251444      3.18     88676   4538284  32047736     15.63    391416   8886232        76
11:22:15 PM 185321048 186031752   6222520      3.16     88692   4554276  32311476     15.76    391432   8882292        80
11:22:25 PM 185396588 186107548   6143796      3.12     88708   4554376  32324704     15.76    391448   8810968       156
11:22:35 PM 185339096 186049992   6200920      3.15     88724   4554444  32320040     15.76    391464   8867760       124
11:22:45 PM 185344540 186055516   6196212      3.15     88740   4554540  32334908     15.77    391480   8903964       128
11:22:55 PM 185306900 186018060   6235432      3.17     88756   4554640  32399204     15.80    391492   8904880        96
