Linux 5.15.0-131-generic (node0.parthaw-244100.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(128 CPU)

11:23:04 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:51:44 PM 497774704 497671536  15685160      2.97    199148  12837800 122594612     22.86   3338980  22832828        92
11:51:54 PM 497607204 497504568  15852348      3.00    199164  12837948 122687892     22.88   3338996  23038808       276
11:52:04 PM 497477988 497374940  15985492      3.03    199180  12838096 122863420     22.91   3339012  23219096        76
11:52:14 PM 497287184 497184428  16024912      3.04    199196  12986648 123130980     22.96   3339024  23417556        60
11:52:24 PM 497316304 497213660  15995464      3.03    199212  12986808 123018184     22.94   3339040  23379392       560
11:52:34 PM 497351212 497248656  15960876      3.02    199248  12986948 123060776     22.95   3339068  23370484         0
11:52:44 PM 497095320 496994048  16212484      3.07    199324  12988196 123129528     22.96   3339156  23533328       880
11:52:54 PM 497069052 496967948  16243744      3.08    199364  12988348 123225628     22.98   3339192  23586840       360
11:53:04 PM 497150080 497048316  16159028      3.06    199412  12987920 123184608     22.97   3338688  23495444       496
11:53:14 PM 497147436 497045812  16163796      3.06    199432  12988056 123122096     22.96   3338720  23493444       332
11:53:24 PM 497300212 497198708  16012756      3.03    199448  12988232 123002568     22.94   3338736  23369596       508
11:53:34 PM 497358004 497256628  15955192      3.02    199464  12988364 123020532     22.94   3338756  23333404       456
11:53:44 PM 497245304 497144768  16065300      3.04    199480  12989292 123043208     22.94   3338796  23436012       540
11:53:54 PM 497276176 497175908  16036872      3.04    199496  12989444 123068604     22.95   3338820  23408176       340
11:54:04 PM 497178964 497078836  16134724      3.06    199512  12989576 123107680     22.95   3338836  23499556       340
11:54:14 PM 497540696 497440608  15775704      2.99    199576  12989668 122875088     22.91   3338904  23192088       272
11:54:24 PM 504634064 504536512  13929404      2.64    200044   7746012 108998248     20.32   3339660  16492112      2428
11:54:34 PM 504068848 503975020  14436352      2.73    200164   7801316 116885016     21.79   3340484  17001800       904
11:54:44 PM 503928944 503837232  14572244      2.76    200192   7804600 116954488     21.81   3340512  17118880       576
11:54:54 PM 504781856 504697000  13761732      2.61    200668   7760648 114859088     21.42   3341568  16284088      2936
11:55:04 PM 503565472 503482660  14872564      2.82    200840   7863128 116993044     21.81   3342092  17460732       336
11:55:14 PM 503337464 503256528  15098364      2.86    200868   7864980 117362944     21.88   3342124  17642772       376
11:55:24 PM 513521976 513442268   5096260      0.97    200924   7760500  17613752      3.28   3341680   7869028       876
11:55:34 PM 503218888 503146124  15154372      2.87    201340   7924692 117357860     21.88   3343600  17827308       360
11:55:44 PM 502929180 502858392  15441536      2.93    201476   7926536 117741856     21.95   3343740  18071396       496
11:55:54 PM 502895016 502825984  15473700      2.93    201496   7928260 117662164     21.94   3343760  18061016       444
11:56:04 PM 503226456 503162012  15094132      2.86    201968   7977688 116429892     21.71   3346120  17791304       732
11:56:14 PM 502657268 502594584  15655708      2.97    202104   7984048 117934548     21.99   3346252  18345924      1136
11:56:24 PM 502272356 502211268  16029692      3.04    202124   7995044 118250912     22.05   3346276  18708672       436
11:56:34 PM 513594164 513534216   5001948      0.95    202176   7777296  19726708      3.68   3345800   7736528       884
11:56:44 PM 502383012 502329016  15870992      3.01    202600   8037668 118012528     22.00   3347680  18523016       296
11:56:54 PM 502027936 501975380  16218376      3.07    202736   8044840 118297984     22.06   3347816  18836812       292
11:57:04 PM 501703400 501652276  16541432      3.13    202752   8046252 118559460     22.11   3347828  19126188       372
11:57:14 PM 512600688 512550892   5649520      1.07    202800   8047524  23734076      4.43   3604348   8367356       404
11:57:24 PM 502714796 502669692  14030940      2.66    203268   9544984 117361652     21.88   3349348  18321652       236
11:57:34 PM 502248968 502204472  14211148      2.69    203288   9829504 118720608     22.14   3349364  18810908       204
11:57:44 PM 502164752 502120904  14294400      2.71    203304   9830132 118770008     22.15   3349384  18894548       116
11:57:54 PM 502132612 502089432  14325580      2.71    203448   9830688 118800580     22.15   3349500  18934516       196
11:58:04 PM 502105964 502063416  14329364      2.71    203464   9853624 118762364     22.14   3349540  18911216       248
11:58:14 PM 502096124 502054184  14332900      2.71    203480   9859308 118803608     22.15   3349560  18957288       228
11:58:24 PM 503127648 503092428  14057560      2.66    203960   9095684 116811604     21.78   3350980  17903228      1056
11:58:34 PM 502261340 502226688  14291396      2.71    203980   9726804 118653360     22.12   3351032  18776484       800
11:58:44 PM 502132664 502098720  14394748      2.73    203996   9751404 118752240     22.14   3351052  18901284       224
11:58:54 PM 502074652 502041472  14451636      2.74    204132   9752020 118769440     22.15   3351172  18931704        88
11:59:04 PM 502081728 502049152  14444392      2.74    204148   9752640 118518208     22.10   3351196  18916296       428
11:59:14 PM 513516700 513484628   5043080      0.96    204192   7799164  16689588      3.11   3350724   7814872       708
11:59:24 PM 500394920 500367088  14183800      2.69    204620  11704944 120554220     22.48   3352668  20680396       252
11:59:34 PM 500031496 500004128  14407568      2.73    204640  11843668 120803864     22.53   3352680  21019512       412
11:59:44 PM 499885640 499858764  14535616      2.75    204652  11861372 120890460     22.54   3352696  21150180       316
11:59:54 PM 499881788 499855368  14539236      2.75    204672  11861800 120893216     22.54   3352716  21166324       256
12:00:04 AM 499840316 499814420  14580200      2.76    204808  11862196 120976860     22.56   3352840  21238920       252
12:00:14 AM 499894956 499869524  14519608      2.75    204828  11867944 120846096     22.53   3352860  21155196       264
12:00:24 AM 499884468 499859336  14510700      2.75    204928  11886888 120871124     22.54   3353004  21161328       368
12:00:34 AM 510414536 510390384   5236456      0.99    204944  10699980  21446316      4.00   5319076   8948528      1236
12:00:44 AM 502282968 502264232  14101108      2.67    205492   9891308 117669688     21.94   3354464  18790164        80
12:00:54 AM 500178228 500159840  14422276      2.73    205508  11673768 120660044     22.50   3354512  20879700        88
12:01:04 AM 500048416 500030404  14550768      2.76    205528  11674160 120495876     22.47   3354532  21000704       208
12:01:14 AM 499920160 499902572  14676404      2.78    205544  11676264 120841972     22.53   3354544  21124980        44
12:01:24 AM 499844664 499827448  14751676      2.79    205580  11676636 120890580     22.54   3354568  21183068       400
12:01:34 AM 499832636 499815968  14763156      2.80    205696  11677028 120911628     22.55   3354696  21218176       524
12:01:44 AM 499859596 499843776  14735152      2.79    205712  11678056 120838936     22.53   3354716  21162812      1588
12:01:54 AM 499864440 499849204  14729888      2.79    205728  11678452 120863892     22.54   3354732  21191212       500
12:02:04 AM 513508028 513493728   5030260      0.95    205784   7813888  16697780      3.11   3354272   7801628       496
12:02:14 AM 501195904 501186732  14431424      2.73    206216  10633704 119573504     22.30   3356204  19696508       944
12:02:24 AM 500714012 500705136  14825932      2.81    206232  10714848 119683816     22.32   3356220  19959460       172
12:02:34 AM 500527000 500518284  14798972      2.80    206248  10934128 119926372     22.36   3356236  20165896       252
12:02:44 AM 500315784 500307308  14906696      2.82    206264  11038596 120075228     22.39   3356252  20379076       156
12:02:54 AM 500377332 500368992  14845384      2.81    206280  11038756 120092776     22.39   3356268  20345424       168
12:03:04 AM 500230616 500222520  14988572      2.84    206300  11038916 120165472     22.41   3356288  20483708       312
12:03:14 AM 500087360 500079964  15134220      2.87    206316  11039696 120236952     22.42   3356304  20550748       352
12:03:24 AM 500106928 500099676  15114268      2.86    206332  11039852 120265116     22.42   3356320  20549684       416
12:03:34 AM 500059532 500052448  15161652      2.87    206348  11039976 120289704     22.43   3356336  20612836       360
12:03:44 AM 500159388 500152508  15063344      2.85    206364  11040184 120268444     22.43   3356352  20546392       212
12:03:54 AM 500128536 500121812  15091744      2.86    206392  11040324 120246352     22.42   3356372  20589564       380
12:04:04 AM 500052416 500045952  15168508      2.87    206468  11040480 120328380     22.44   3356444  20651616       228
12:04:14 AM 499986428 499981212  15233816      2.89    206524  11041660 120385840     22.45   3356512  20707576       496
12:04:24 AM 499938408 499933376  15282932      2.89    206552  11041824 120378772     22.45   3356540  20738572       224
12:04:34 AM 499968476 499963620  15162260      2.87    206568  11130992 120340056     22.44   3356556  20679984       324
12:04:44 AM 500058316 500053640  15074140      2.86    206584  11131180 120252164     22.42   3356572  20618744       172
12:04:54 AM 500072756 500068256  15059240      2.85    206600  11131332 120259184     22.42   3356588  20614604       176
12:05:04 AM 500075000 500070692  15058216      2.85    206616  11131508 120293180     22.43   3356600  20623088       356
12:05:14 AM 499922576 499919124  15092028      2.86    206632  11249564 120406876     22.45   3356616  20777656       180
12:05:24 AM 499950020 499946760  15064400      2.85    206648  11249728 120398640     22.45   3356632  20728300       176
12:05:34 AM 499884596 499881528  15129700      2.87    206672  11249892 120433824     22.46   3356656  20805944       396
