Linux 5.15.0-131-generic (node0.parthaw-244253.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(48 CPU)

11:14:19 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:51:59 PM 253615832 254468764   7487492      2.84    169928   2272480  36650300     13.45    690520   8417024       272
11:52:09 PM 258561660 259415296   2776112      1.05    169976   2058900   5599276      2.06    690380   3666404        40
11:52:19 PM 254113488 254969840   6939892      2.63    170152   2320704  36126324     13.26    690748   7936200       220
11:52:29 PM 253613664 254470784   7436452      2.82    170164   2323400  36569076     13.42    690760   8428540       100
11:52:39 PM 253600872 254458900   7448648      2.82    170300   2324140  36627696     13.45    690900   8420300        32
11:52:49 PM 253199092 254057864   7849556      2.97    170316   2324868  36980972     13.58    690912   8830840       484
11:52:59 PM 253102284 253961856   7943948      3.01    170320   2327608  37070828     13.61    690916   8924588       700
11:53:09 PM 253017828 253878208   8027352      3.04    170328   2328408  37156776     13.64    690924   9035232       548
11:53:19 PM 259546852 260408252   1785476      0.68    170368   2065492   3674040      1.35    690764   2615352       608
11:53:29 PM 254008036 254871740   5498228      2.08    170548   3865236  36601140     13.44    691164   8077836       496
11:53:39 PM 253699112 254563140   5612312      2.13    170564   4059960  36864432     13.53    691176   8374388       520
11:53:49 PM 253641720 254506072   5629832      2.13    170580   4099328  36904612     13.55    691192   8430216       296
11:53:59 PM 253583580 254448256   5687504      2.15    170592   4099640  36961652     13.57    691208   8492840       292
11:54:09 PM 253552192 254417196   5713340      2.16    170608   4105052  36957160     13.57    691216   8501716       308
11:54:19 PM 253510412 254375816   5754940      2.18    170712   4105348  36978336     13.57    691320   8525076       360
11:54:29 PM 253485568 254351708   5779100      2.19    170768   4105988  36982220     13.58    691384   8547528       248
11:54:39 PM 253486796 254353244   5762468      2.18    170784   4121192  36936428     13.56    691400   8504156       332
11:54:49 PM 253488400 254355208   5760536      2.18    170792   4121520  36958568     13.57    691404   8531308       320
11:54:59 PM 253449448 254316592   5798932      2.20    170808   4121848  36964464     13.57    691420   8532708       320
11:55:09 PM 255955704 256825240   5246336      1.99    171024   2167300  33905884     12.45    691696   6099744      1092
11:55:19 PM 253741328 254611244   5622696      2.13    171032   4006144  36850484     13.53    691652   8331492        44
11:55:29 PM 253678320 254548576   5685372      2.15    171052   4006464  36896492     13.54    691672   8397828       424
11:55:39 PM 253627344 254497968   5735872      2.17    171068   4006812  36923268     13.55    691688   8427188       436
11:55:49 PM 253537808 254408780   5824912      2.21    171088   4007132  36982904     13.58    691708   8493068       408
11:55:59 PM 253549148 254420464   5813156      2.20    171144   4007436  36978652     13.57    691752   8498732       296
11:56:09 PM 253498092 254370212   5855020      2.22    171244   4016340  36786620     13.50    691860   8541236       808
11:56:19 PM 253505852 254378324   5839136      2.21    171260   4024496  36945684     13.56    691880   8485188       476
11:56:29 PM 253475244 254348056   5869604      2.22    171276   4024820  36974324     13.57    691892   8513256       264
11:56:39 PM 253489200 254362360   5855100      2.22    171292   4025152  36981456     13.58    691908   8520304       280
11:56:49 PM 253885620 254760628   5589128      2.12    171508   3894296  36327384     13.34    692128   8196696       144
11:56:59 PM 252875552 253750756   5709440      2.16    171524   4784228  37576344     13.79    692144   9157832       160
11:57:09 PM 252573552 253448996   5793240      2.19    171544   5002396  37900960     13.91    692164   9481508       172
11:57:19 PM 252448112 253323744   5849988      2.22    171556   5071320  37974864     13.94    692172   9574132       140
11:57:29 PM 252435588 253311464   5862320      2.22    171572   5071528  38025856     13.96    692188   9621704       132
11:57:39 PM 252383312 253259384   5914212      2.24    171588   5071728  38070972     13.98    692204   9686464       112
11:57:49 PM 252324704 253201276   5972272      2.26    171608   5072200  38113684     13.99    692224   9740152        92
11:57:59 PM 252326624 253203412   5970132      2.26    171616   5072396  38087056     13.98    692236   9705044       256
11:58:09 PM 252301752 253178760   5994540      2.27    171680   5072580  38102460     13.99    692284   9713436       136
11:58:19 PM 252215332 253092664   6080616      2.30    171768   5072776  38156012     14.01    692380   9806152       364
11:58:29 PM 252209300 253086868   6085544      2.31    171780   5073792  38149668     14.00    692396   9790712       432
11:58:39 PM 252302032 253179800   5992528      2.27    171784   5073980  38029496     13.96    692400   9681132       420
11:58:49 PM 252337628 253216008   5956336      2.26    171800   5074592  38003132     13.95    692416   9658784       960
11:58:59 PM 252301208 253179816   5991724      2.27    171816   5075584  37804748     13.88    692428   9669956       504
11:59:09 PM 252278828 253157660   6013868      2.28    171828   5075772  38055236     13.97    692444   9697168       500
11:59:19 PM 252262280 253141348   6030036      2.28    171844   5075984  38067484     13.97    692456   9729268       204
