2025-03-01 14:40:42 - +45.0°C
2025-03-01 14:40:43 - +46.0°C
2025-03-01 14:40:44 - +46.0°C
2025-03-01 14:40:45 - +45.0°C
2025-03-01 14:40:46 - +46.0°C
2025-03-01 14:40:47 - +46.0°C
2025-03-01 14:40:48 - +45.0°C
2025-03-01 14:40:49 - +45.0°C
2025-03-01 14:40:50 - +46.0°C
2025-03-01 14:40:51 - +45.0°C
2025-03-01 14:40:52 - +46.0°C
2025-03-01 14:40:53 - +46.0°C
2025-03-01 14:40:54 - +45.0°C
2025-03-01 14:40:56 - +45.0°C
2025-03-01 14:40:57 - +45.0°C
2025-03-01 14:40:58 - +46.0°C
2025-03-01 14:40:59 - +47.0°C
2025-03-01 14:41:00 - +46.0°C
2025-03-01 14:41:01 - +45.0°C
2025-03-01 14:41:02 - +46.0°C
